# x1 x2 x3
# 102 3
# 102 3
 4.47354671e-01  3.77061417e-01  0.00000000e+00
 4.38038860e-01  3.86995376e-01  0.00000000e+00
 4.28530024e-01  3.94572671e-01  0.00000000e+00
 4.18957070e-01  3.99481447e-01  0.00000000e+00
 4.09448902e-01  4.01409849e-01  0.00000000e+00
 4.00134424e-01  4.00046023e-01  0.00000000e+00
 3.91100840e-01  3.95235999e-01  0.00000000e+00
 3.82261037e-01  3.87485744e-01  0.00000000e+00
 3.73482369e-01  3.77473620e-01  0.00000000e+00
 3.64632188e-01  3.65877991e-01  0.00000000e+00
 3.55577848e-01  3.53377219e-01  0.00000000e+00
 3.46186701e-01  3.40649667e-01  0.00000000e+00
 3.36326100e-01  3.28373700e-01  0.00000000e+00
 3.25863397e-01  3.17227681e-01  0.00000000e+00
 3.14665946e-01  3.07889972e-01  0.00000000e+00
 3.02601100e-01  3.01038937e-01  0.00000000e+00
 2.89572149e-01  2.97226879e-01  0.00000000e+00
 2.75752894e-01  2.96057275e-01  0.00000000e+00
 2.61440319e-01  2.96701519e-01  0.00000000e+00
 2.46932032e-01  2.98328815e-01  0.00000000e+00
 2.32525642e-01  3.00108371e-01  0.00000000e+00
 2.18518756e-01  3.01209391e-01  0.00000000e+00
 2.05208984e-01  3.00801083e-01  0.00000000e+00
 1.92877807e-01  2.98093227e-01  0.00000000e+00
 1.81553767e-01  2.92932100e-01  0.00000000e+00
 1.71064546e-01  2.85669412e-01  0.00000000e+00
 1.61232290e-01  2.76670798e-01  0.00000000e+00
 1.51879146e-01  2.66301895e-01  0.00000000e+00
 1.42827261e-01  2.54928339e-01  0.00000000e+00
 1.33898783e-01  2.42915767e-01  0.00000000e+00
 1.24915857e-01  2.30629814e-01  0.00000000e+00
 1.15700632e-01  2.18436117e-01  0.00000000e+00
 1.06075253e-01  2.06700312e-01  0.00000000e+00
 9.58661428e-02  1.95781617e-01  0.00000000e+00
 8.50686827e-02  1.85785539e-01  0.00000000e+00
 7.38993895e-02  1.76485526e-01  0.00000000e+00
 6.25897250e-02  1.67632588e-01  0.00000000e+00
 5.13711508e-02  1.58977732e-01  0.00000000e+00
 4.04751287e-02  1.50271967e-01  0.00000000e+00
 3.01331205e-02  1.41266301e-01  0.00000000e+00
 2.05765879e-02  1.31711743e-01  0.00000000e+00
 1.20369926e-02  1.21359301e-01  0.00000000e+00
 4.74579654e-03  1.09959982e-01  0.00000000e+00
-1.06598658e-03  9.72659388e-02  0.00000000e+00
-5.25527167e-03  8.32535820e-02  0.00000000e+00
-7.87181082e-03  6.83911537e-02  0.00000000e+00
